ID,Time Stamp,Storing Time,Memory Items,Learning Loop?,Forgetting Loop?
2,22:14:29.269,0.111916,0,false,false
3,22:14:30.256,1.616252,0,false,false
4,22:14:31.281,0.886711,0,false,false
5,22:14:32.266,1.283633,0,false,false
6,22:14:33.275,2.959401,0,false,false
7,22:14:34.272,0.108666,0,false,false
8,22:14:35.273,4.479554,0,false,false
9,22:14:36.287,1.304322,0,false,false
10,22:14:37.280,0.112742,0,false,false
11,22:14:38.341,0.592996,0,false,false
12,22:14:40.101,107.918591,1,true,false
13,22:14:42.218,249.551806,2,true,false
14,22:14:43.530,2.515901,2,false,false
15,22:14:44.956,5.391971,2,false,false
16,22:14:47.637,998.741506,2,true,true
17,22:14:50.146,1192.822073,3,true,false
18,22:14:51.627,8.200046,3,false,false
19,22:14:53.137,0.477523,3,false,false
20,22:14:54.388,1.028027,3,false,false
21,22:14:55.877,5.080193,3,false,false
22,22:14:57.200,0.647908,3,false,false
23,22:14:58.596,0.648584,3,false,false
24,22:14:59.936,3.047967,3,false,false
25,22:15:01.249,2.805547,3,false,false
26,22:15:02.901,7.397075,3,false,false
27,22:15:04.351,10.622113,3,false,false
28,22:15:05.808,0.371065,3,false,false
29,22:15:07.209,5.863724,3,false,false
30,22:15:17.034,3553.303401,3,true,true
31,22:15:22.957,3193.346567,4,true,false
32,22:15:25.578,2.459548,4,false,false
33,22:15:28.613,0.348849,4,false,false
34,22:15:40.362,7032.716436,4,true,true
35,22:15:42.169,0.916452,4,false,false
36,22:15:44.357,2.444189,4,false,false
37,22:15:45.760,4.362078,4,false,false
38,22:15:55.173,5289.962271,4,true,true
39,22:15:56.811,1.31544,4,false,false
40,22:15:58.352,0.696404,4,false,false
41,22:15:59.948,1.414042,4,false,false
42,22:16:01.511,0.837106,4,false,false
43,22:16:11.903,5599.247355,4,true,true
44,22:16:21.233,7773.645462,5,true,false
45,22:16:35.711,12460.826512,6,true,false
46,22:16:37.568,0.527541,6,false,false
47,22:17:02.443,21580.705305,7,true,false
48,22:17:36.648,30784.358504,8,true,false
49,22:18:20.905,39975.39804,9,true,false
50,22:19:35.563,70540.2378,10,true,false
51,22:19:40.158,5.141723,10,false,false
52,22:19:45.309,0.663023,10,false,false
53,22:19:51.173,0.905243,10,false,false
54,22:23:21.611,118790.753681,10,true,true
55,22:25:37.235,129757.292334,11,true,false
56,22:25:44.906,0.739313,11,false,false
57,22:25:52.891,0.673813,11,false,false
58,22:32:14.618,205173.077339,11,true,true
ID,Time Stamp,Storing Time,Memory Items,Learning Loop?,Forgetting Loop?
2,22:45:45.686,0.129576,0,false,false
3,22:45:46.667,0.122331,0,false,false
4,22:45:47.683,0.11773,0,false,false
5,22:45:48.665,0.124935,0,false,false
6,22:45:49.669,0.113424,0,false,false
7,22:45:50.673,0.120238,0,false,false
8,22:45:51.668,0.118193,0,false,false
9,22:45:52.670,0.089852,0,false,false
10,22:45:53.683,5.184432,0,false,false
11,22:45:54.680,1.15926,0,false,false
12,22:45:55.690,4.605147,0,false,false
13,22:45:57.566,127.049275,1,true,false
14,22:45:59.251,286.527173,2,true,false
15,22:46:00.508,0.542826,2,false,false
16,22:46:01.699,6.12914,2,false,false
17,22:46:04.112,938.184797,2,true,true
